Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|P04818|TYSY_HUMAN	P04818	TYSY_HUMAN	TYMS	313	3.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thymidylate synthase 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	644563	     0	     0	644563	     0	     0	644563	     0	     0		
sp|P05408|7B2_HUMAN	P05408	7B2_HUMAN	SCG5	212	9.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroendocrine protein 7B2 	0.9863	0.9990	1	2	2	2	1	1	0	1	1	0	1	1	0	1736934	1656657	     0	1736934	1656657	     0	1736934	1656657	     0		
sp|P05997|CO5A2_HUMAN	P05997	CO5A2_HUMAN	COL5A2	1499	1.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Collagen alpha-2(V) chain 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	558080	     0	     0	558080	     0	     0	558080	     0	     0		
sp|P08493|MGP_HUMAN	P08493	MGP_HUMAN	MGP	103	10.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Matrix Gla protein 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	927030	     0	     0	927030	     0	     0	927030	     0	     0		
sp|P09038|FGF2_HUMAN	P09038	FGF2_HUMAN	FGF2	288	3.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fibroblast growth factor 2 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1129988	     0	     0	1129988	     0	     0	1129988	     0	     0		
sp|P0CAP2|GRL1A_HUMAN	P0CAP2	GRL1A_HUMAN	POLR2M	368	3.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit GRINL1A 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1330189	     0	     0	1330189	     0	     0	1330189	     0	     0		
sp|P0DPB6|RPAC2_HUMAN	P0DPB6	RPAC2_HUMAN	POLR1D	133	8.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC2 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	698277	     0	     0	698277	     0	     0	698277	     0		
sp|P10145|IL8_HUMAN	P10145	IL8_HUMAN	CXCL8	99	16.20	Homo sapiens	1:Experimental evidence at protein level	Interleukin-8 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1212782	     0	     0	1212782	     0	     0	1212782	     0	     0		
sp|P12074|CX6A1_HUMAN	P12074	CX6A1_HUMAN	COX6A1	109	26.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 6A1, mitochondrial 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	11163650	     0	     0	11163650	     0	     0	11163650	     0	     0		
sp|P13762|DRB4_HUMAN	P13762	DRB4_HUMAN	HLA-DRB4	266	9.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	HLA class II histocompatibility antigen, DR beta 4 chain 	0.9863	0.9990	3	2	2	11	0	1	1	0	1	1	2	4	5	     0	1191242	1266239	     0	1191242	1266239	84030824	43251701	120821385		
sp|P16333|NCK1_HUMAN	P16333	NCK1_HUMAN	NCK1	377	2.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytoplasmic protein NCK1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1174079	     0	     0	1174079	     0	     0	1174079	     0	     0		
sp|P16519|NEC2_HUMAN	P16519	NEC2_HUMAN	PCSK2	638	2.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroendocrine convertase 2 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	1310059	     0	     0	1310059	     0	     0	1310059	     0		
sp|P17081|RHOQ_HUMAN	P17081	RHOQ_HUMAN	RHOQ	205	12.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoQ 	0.9863	0.9990	2	1	1	7	0	1	0	0	1	0	1	5	1	     0	338375	     0	     0	338375	     0	21180098	17371400	4003548		
sp|P17813|EGLN_HUMAN	P17813	EGLN_HUMAN	ENG	658	1.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoglin 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	4018931	     0	     0	4018931	     0	     0	4018931	     0	     0		
sp|P18827|SDC1_HUMAN	P18827	SDC1_HUMAN	SDC1	310	5.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syndecan-1 	0.9863	0.9990	1	1	1	1	0	0	1	0	0	1	0	0	1	     0	     0	1142611	     0	     0	1142611	     0	     0	1142611		
sp|P19634|SL9A1_HUMAN	P19634	SL9A1_HUMAN	SLC9A1	815	1.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sodium/hydrogen exchanger 1 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	1035521	     0	     0	1035521	     0	     0	1035521	     0		
sp|P20138|CD33_HUMAN	P20138	CD33_HUMAN	CD33	364	2.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myeloid cell surface antigen CD33 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2300306	     0	     0	2300306	     0	     0	2300306	     0	     0		
sp|P20264|PO3F3_HUMAN	P20264	PO3F3_HUMAN	POU3F3	500	2.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	POU domain, class 3, transcription factor 3 	0.9863	0.9990	1	1	0	1	1	0	0	0	0	0	1	0	0	3269878	     0	     0	     0	     0	     0	3269878	     0	     0	sp|P20265|PO3F2_HUMAN, sp|Q03052|PO3F1_HUMAN	
sp|P21453|S1PR1_HUMAN	P21453	S1PR1_HUMAN	S1PR1	382	2.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sphingosine 1-phosphate receptor 1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	16311984	     0	     0	16311984	     0	     0	16311984	     0	     0		
sp|P21462|FPR1_HUMAN	P21462	FPR1_HUMAN	FPR1	350	3.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	fMet-Leu-Phe receptor 	0.9863	0.9990	1	2	2	2	1	0	1	1	0	1	1	0	1	21761478	     0	3641174	21761478	     0	3641174	21761478	     0	3641174		
sp|P23508|CRCM_HUMAN	P23508	CRCM_HUMAN	MCC	829	1.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Colorectal mutant cancer protein 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	743483	     0	     0	743483	     0	     0	743483	     0	     0		
sp|P23511|NFYA_HUMAN	P23511	NFYA_HUMAN	NFYA	347	5.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear transcription factor Y subunit alpha 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	744560	     0	     0	744560	     0	     0	744560	     0	     0		
sp|P23743|DGKA_HUMAN	P23743	DGKA_HUMAN	DGKA	735	1.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Diacylglycerol kinase alpha 	0.9863	0.9990	1	2	2	2	1	1	0	1	1	0	1	1	0	522998	2447222	     0	522998	2447222	     0	522998	2447222	     0		
sp|P24588|AKAP5_HUMAN	P24588	AKAP5_HUMAN	AKAP5	427	2.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	A-kinase anchor protein 5 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2706695	     0	     0	2706695	     0	     0	2706695	     0	     0		
sp|P25025|CXCR2_HUMAN	P25025	CXCR2_HUMAN	CXCR2	360	2.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	C-X-C chemokine receptor type 2 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1035716	     0	     0	1035716	     0	     0	1035716	     0	     0		
sp|P25090|FPR2_HUMAN	P25090	FPR2_HUMAN	FPR2	351	3.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-formyl peptide receptor 2 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1945936	     0	     0	1945936	     0	     0	1945936	     0	     0		
sp|P26358|DNMT1_HUMAN	P26358	DNMT1_HUMAN	DNMT1	1616	0.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA (cytosine-5)-methyltransferase 1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2488884	     0	     0	2488884	     0	     0	2488884	     0	     0		
sp|P26927|HGFL_HUMAN	P26927	HGFL_HUMAN	MST1	711	1.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hepatocyte growth factor-like protein 	0.9863	0.9990	1	1	0	1	1	0	0	0	0	0	1	0	0	808441	     0	     0	     0	     0	     0	808441	     0	     0	sp|Q2TV78|MST1L_HUMAN	
sp|P27449|VATL_HUMAN	P27449	VATL_HUMAN	ATP6V0C	155	11.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	V-type proton ATPase 16 kDa proteolipid subunit 	0.9863	0.9990	1	3	3	3	1	1	1	1	1	1	1	1	1	2003587	1413464	1273342	2003587	1413464	1273342	2003587	1413464	1273342		
sp|P29728|OAS2_HUMAN	P29728	OAS2_HUMAN	OAS2	719	2.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	2'-5'-oligoadenylate synthase 2 	0.9863	0.9990	1	2	2	2	0	0	2	0	0	2	0	0	2	     0	     0	1504209	     0	     0	1504209	     0	     0	1504209		
sp|P32121|ARRB2_HUMAN	P32121	ARRB2_HUMAN	ARRB2	409	6.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-arrestin-2 	0.9863	0.9990	2	1	1	2	1	0	0	1	0	0	1	1	0	949855	     0	     0	949855	     0	     0	949855	3511164	     0		
sp|P32942|ICAM3_HUMAN	P32942	ICAM3_HUMAN	ICAM3	547	1.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Intercellular adhesion molecule 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1618080	     0	     0	1618080	     0	     0	1618080	     0	     0		
sp|P35219|CAH8_HUMAN	P35219	CAH8_HUMAN	CA8	290	4.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbonic anhydrase-related protein 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	1001848	     0	     0	1001848	     0	     0	1001848	     0		
sp|P35625|TIMP3_HUMAN	P35625	TIMP3_HUMAN	TIMP3	211	5.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metalloproteinase inhibitor 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2021918	     0	     0	2021918	     0	     0	2021918	     0	     0		
sp|P36021|MOT8_HUMAN	P36021	MOT8_HUMAN	SLC16A2	539	4.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Monocarboxylate transporter 8 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	3135688	     0	     0	3135688	     0	     0	3135688	     0	     0		
sp|P40938|RFC3_HUMAN	P40938	RFC3_HUMAN	RFC3	356	3.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Replication factor C subunit 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1759724	     0	     0	1759724	     0	     0	1759724	     0	     0		
sp|P42261|GRIA1_HUMAN	P42261	GRIA1_HUMAN	GRIA1	906	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamate receptor 1 	0.9863	0.9990	5	1	1	13	1	0	0	1	0	0	6	5	2	1141700	     0	     0	1141700	     0	     0	16904267	35897286	8226124		
sp|P43005|EAA3_HUMAN	P43005	EAA3_HUMAN	SLC1A1	524	2.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Excitatory amino acid transporter 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1446354	     0	     0	1446354	     0	     0	1446354	     0	     0		
sp|P45877|PPIC_HUMAN	P45877	PPIC_HUMAN	PPIC	212	6.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase C 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	960603	     0	     0	960603	     0	     0	960603	     0	     0		
sp|P46199|IF2M_HUMAN	P46199	IF2M_HUMAN	MTIF2	727	2.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translation initiation factor IF-2, mitochondrial 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	476934	     0	     0	476934	     0	     0	476934	     0		
sp|P47224|MSS4_HUMAN	P47224	MSS4_HUMAN	RABIF	123	8.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanine nucleotide exchange factor MSS4 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	2376557	     0	     0	2376557	     0	     0	2376557	     0		
sp|P47870|GBRB2_HUMAN	P47870	GBRB2_HUMAN	GABRB2	512	6.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gamma-aminobutyric acid receptor subunit beta-2 	0.9863	0.9990	3	2	2	5	1	1	0	1	1	0	1	3	1	3653527	2715251	     0	3653527	2715251	     0	3653527	2715251	     0		
sp|P48060|GLIP1_HUMAN	P48060	GLIP1_HUMAN	GLIPR1	266	4.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glioma pathogenesis-related protein 1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	     0	     0	     0	     0	     0	     0	     0	     0	     0		
sp|P48595|SPB10_HUMAN	P48595	SPB10_HUMAN	SERPINB10	397	5.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B10 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1257342	     0	     0	1257342	     0	     0	1257342	     0	     0		
sp|P48730|KC1D_HUMAN	P48730	KC1D_HUMAN	CSNK1D	415	8.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Casein kinase I isoform delta 	0.9863	0.9990	3	1	1	6	1	0	0	1	0	0	3	1	2	3207270	     0	     0	3207270	     0	     0	21003896	1142354	4653762		
sp|P49459|UBE2A_HUMAN	P49459	UBE2A_HUMAN	UBE2A	152	6.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 A 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2950486	     0	     0	2950486	     0	     0	2950486	     0	     0		
sp|P49746|TSP3_HUMAN	P49746	TSP3_HUMAN	THBS3	956	1.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thrombospondin-3 	0.9863	0.9990	1	1	1	1	0	0	1	0	0	1	0	0	1	     0	     0	2532588	     0	     0	2532588	     0	     0	2532588		
sp|P49758|RGS6_HUMAN	P49758	RGS6_HUMAN	RGS6	472	7.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Regulator of G-protein signaling 6 	0.9863	0.9990	3	1	1	7	0	1	0	0	1	0	2	4	1	     0	1318870	     0	     0	1318870	     0	4444314	10510896	2173874		
sp|P50607|TUB_HUMAN	P50607	TUB_HUMAN	TUB	506	2.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubby protein homolog 	0.9863	0.9990	1	2	2	2	0	2	0	0	2	0	0	2	0	     0	1525718	     0	     0	1525718	     0	     0	1525718	     0		
sp|P51808|DYLT3_HUMAN	P51808	DYLT3_HUMAN	DYNLT3	116	14.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynein light chain Tctex-type 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	7843752	     0	     0	7843752	     0	     0	7843752	     0	     0		
sp|P52298|NCBP2_HUMAN	P52298	NCBP2_HUMAN	NCBP2	156	7.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear cap-binding protein subunit 2 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	3364878	     0	     0	3364878	     0	     0	3364878	     0	     0		
sp|P52655|TF2AA_HUMAN	P52655	TF2AA_HUMAN	GTF2A1	376	4.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription initiation factor IIA subunit 1 	0.9863	0.9990	1	2	2	2	1	1	0	1	1	0	1	1	0	1597594	6571386	     0	1597594	6571386	     0	1597594	6571386	     0		
sp|P52823|STC1_HUMAN	P52823	STC1_HUMAN	STC1	247	4.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stanniocalcin-1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	     0	     0	     0	     0	     0	     0	     0	     0	     0		
sp|P53365|ARFP2_HUMAN	P53365	ARFP2_HUMAN	ARFIP2	341	4.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Arfaptin-2 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1544054	     0	     0	1544054	     0	     0	1544054	     0	     0		
sp|P53671|LIMK2_HUMAN	P53671	LIMK2_HUMAN	LIMK2	638	4.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	LIM domain kinase 2 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	397169	     0	     0	397169	     0	     0	397169	     0	     0		
sp|P53801|PTTG_HUMAN	P53801	PTTG_HUMAN	PTTG1IP	180	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pituitary tumor-transforming gene 1 protein-interacting protein 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1596188	     0	     0	1596188	     0	     0	1596188	     0	     0		
sp|P53803|RPAB4_HUMAN	P53803	RPAB4_HUMAN	POLR2K	58	31.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerases I, II, and III subunit RPABC4 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	493229	     0	     0	493229	     0	     0	493229	     0	     0		
sp|P54108|CRIS3_HUMAN	P54108	CRIS3_HUMAN	CRISP3	245	3.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich secretory protein 3 	0.9863	0.9990	1	2	2	2	1	1	0	1	1	0	1	1	0	7314176	1574598	     0	7314176	1574598	     0	7314176	1574598	     0		
sp|P54826|GAS1_HUMAN	P54826	GAS1_HUMAN	GAS1	345	4.90	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Growth arrest-specific protein 1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	689214	     0	     0	689214	     0	     0	689214	     0	     0		
sp|P54852|EMP3_HUMAN	P54852	EMP3_HUMAN	EMP3	163	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epithelial membrane protein 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	683289	     0	     0	683289	     0	     0	683289	     0	     0		
sp|P55789|ALR_HUMAN	P55789	ALR_HUMAN	GFER	205	5.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	FAD-linked sulfhydryl oxidase ALR 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	     0	     0	     0	     0	     0	     0	     0	     0	     0		
sp|P56559|ARL4C_HUMAN	P56559	ARL4C_HUMAN	ARL4C	192	4.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor-like protein 4C 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	565821	     0	     0	565821	     0	     0	565821	     0	     0		
sp|P60002|ELOF1_HUMAN	P60002	ELOF1_HUMAN	ELOF1	83	21.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor 1 homolog 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2651338	     0	     0	2651338	     0	     0	2651338	     0	     0		
sp|P61925|IPKA_HUMAN	P61925	IPKA_HUMAN	PKIA	76	22.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	cAMP-dependent protein kinase inhibitor alpha 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	9357223	     0	     0	9357223	     0	     0	9357223	     0		
sp|P61962|DCAF7_HUMAN	P61962	DCAF7_HUMAN	DCAF7	342	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	DDB1- and CUL4-associated factor 7 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	582907	     0	     0	582907	     0	     0	582907	     0	     0		
sp|P62306|RUXF_HUMAN	P62306	RUXF_HUMAN	SNRPF	86	9.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein F 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	8289005	     0	     0	8289005	     0	     0	8289005	     0	     0		
sp|P63172|DYLT1_HUMAN	P63172	DYLT1_HUMAN	DYNLT1	113	14.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynein light chain Tctex-type 1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	14176178	     0	     0	14176178	     0	     0	14176178	     0	     0		
sp|P63272|SPT4H_HUMAN	P63272	SPT4H_HUMAN	SUPT4H1	117	13.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT4 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	2181413	     0	     0	2181413	     0	     0	2181413	     0	     0		
sp|P83436|COG7_HUMAN	P83436	COG7_HUMAN	COG7	770	1.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Conserved oligomeric Golgi complex subunit 7 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	425973	     0	     0	425973	     0	     0	425973	     0		
sp|P98155|VLDLR_HUMAN	P98155	VLDLR_HUMAN	VLDLR	873	1.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Very low-density lipoprotein receptor 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	478661	     0	     0	478661	     0	     0	478661	     0	     0		
sp|Q02108|GCYA1_HUMAN	Q02108	GCYA1_HUMAN	GUCY1A1	690	1.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanylate cyclase soluble subunit alpha-1 	0.9863	0.9990	1	1	1	1	0	1	0	0	1	0	0	1	0	     0	1718607	     0	     0	1718607	     0	     0	1718607	     0		
sp|Q04721|NOTC2_HUMAN	Q04721	NOTC2_HUMAN	NOTCH2	2471	0.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neurogenic locus notch homolog protein 2 	0.9863	0.9990	1	3	0	3	1	1	1	0	0	0	1	1	1	2416526	1466280	2009723	     0	     0	     0	2416526	1466280	2009723	sp|Q9UM47|NOTC3_HUMAN	
sp|Q04756|HGFA_HUMAN	Q04756	HGFA_HUMAN	HGFAC	655	2.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hepatocyte growth factor activator 	0.9863	0.9990	1	1	1	1	0	0	1	0	0	1	0	0	1	     0	     0	824972	     0	     0	824972	     0	     0	824972		
sp|Q07507|DERM_HUMAN	Q07507	DERM_HUMAN	DPT	201	5.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dermatopontin 	0.9863	0.9990	1	5	5	5	0	1	4	0	1	4	0	1	4	     0	2412866	4581279	     0	2412866	4581279	     0	2412866	4581279		
sp|Q07817|B2CL1_HUMAN	Q07817	B2CL1_HUMAN	BCL2L1	233	3.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bcl-2-like protein 1 	0.9863	0.9990	1	3	3	3	1	1	1	1	1	1	1	1	1	5780876	3247092	4511188	5780876	3247092	4511188	5780876	3247092	4511188		
sp|Q08554|DSC1_HUMAN	Q08554	DSC1_HUMAN	DSC1	894	1.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Desmocollin-1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	701914	     0	     0	701914	     0	     0	701914	     0	     0		
sp|Q08AG7|MZT1_HUMAN	Q08AG7	MZT1_HUMAN	MZT1	82	13.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitotic-spindle organizing protein 1 	0.9863	0.9990	1	2	2	2	1	1	0	1	1	0	1	1	0	825900	498120	     0	825900	498120	     0	825900	498120	     0		
sp|Q08ET2|SIG14_HUMAN	Q08ET2	SIG14_HUMAN	SIGLEC14	396	5.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sialic acid-binding Ig-like lectin 14 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1013726	     0	     0	1013726	     0	     0	1013726	     0	     0		
sp|Q12791|KCMA1_HUMAN	Q12791	KCMA1_HUMAN	KCNMA1	1236	1.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-activated potassium channel subunit alpha-1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	645723	     0	     0	645723	     0	     0	645723	     0	     0		
sp|Q12893|TM115_HUMAN	Q12893	TM115_HUMAN	TMEM115	351	5.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 115 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	375311	     0	     0	375311	     0	     0	375311	     0	     0		
sp|Q13015|AF1Q_HUMAN	Q13015	AF1Q_HUMAN	MLLT11	90	25.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein AF1q 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1128209	     0	     0	1128209	     0	     0	1128209	     0	     0		
sp|Q13164|MK07_HUMAN	Q13164	MK07_HUMAN	MAPK7	816	1.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitogen-activated protein kinase 7 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1642808	     0	     0	1642808	     0	     0	1642808	     0	     0		
sp|Q13505|MTX1_HUMAN	Q13505	MTX1_HUMAN	MTX1	466	3.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metaxin-1 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	4777255	     0	     0	4777255	     0	     0	4777255	     0	     0		
sp|Q13542|4EBP2_HUMAN	Q13542	4EBP2_HUMAN	EIF4EBP2	120	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E-binding protein 2 	0.9863	0.9990	1	1	1	1	0	0	1	0	0	1	0	0	1	     0	     0	2595022	     0	     0	2595022	     0	     0	2595022		
sp|Q13615|MTMR3_HUMAN	Q13615	MTMR3_HUMAN	MTMR3	1198	1.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myotubularin-related protein 3 	0.9863	0.9990	1	1	1	1	1	0	0	1	0	0	1	0	0	1050472	     0	     0	1050472	     0	     0	1050472	     0	     0		
sp|Q13875|MOBP_HUMAN	Q13875	MOBP_HUMAN	MOBP	183	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myelin-associated oligodendrocyte basic protein 	0.9863	0.9990	1	2	2	2	1	1	0	1	1	0	1	1	0	14198433	17590332	     0	14198433	17590332	     0	14198433	17590332	     0		
